,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-04-06 05:06:22.000000,2023-04-03 02:56:01,1354.0,29.0,487.0,99.0,221.0,29.0,103.0,3324.0,Benchmarks of approximate nearest neighbor libraries in Python.,80.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-03-30 17:11:53.000000,2023-03-30 17:11:52,217.0,26.0,141.0,52.0,133.0,1.0,2.0,1853.0,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-03-30 17:11:58,2023.03.30,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-06 14:00:08.000000,2023-04-06 14:00:08,234.0,26.0,196.0,83.0,135.0,2.0,4.0,2917.0,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-03-30 17:13:22,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-06 14:00:08.000000,2023-04-06 14:00:08,234.0,26.0,196.0,83.0,135.0,2.0,4.0,2917.0,Collection of database clients for python.,9.0,0,True,2023-03-30 17:13:22,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-06 14:00:08.000000,2023-04-06 14:00:08,234.0,26.0,196.0,83.0,135.0,2.0,4.0,2917.0,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-03-30 17:13:22,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-04-06 13:56:25.000000,2023-04-06 13:56:20,146099.0,4838.0,71159.0,7734.0,22833.0,1993.0,35003.0,175146.0,An Open Source Machine Learning Framework for Everyone.,4318.0,55,True,2023-03-23 15:50:02,2.12.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],263832.0,263832.0,https://pypi.org/project/tensorflow,17095253.0,19258857.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4057167.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-04-06 12:48:08.024288,2128.0,72198169.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-04-06 12:23:22.000000,2023-04-06 08:28:11,29849.0,414.0,23319.0,2156.0,15274.0,1568.0,8485.0,53681.0,scikit-learn: machine learning in Python.,2899.0,52,True,2023-03-09 10:08:59,1.2.2,40.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],493434.0,493434.0,https://pypi.org/project/scikit-learn,38754089.0,39001287.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,20516624.0,,,,,1.0,856.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-04-06 13:57:45.000000,2023-04-06 12:50:15,12526.0,806.0,18417.0,950.0,11239.0,517.0,10774.0,90725.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1824.0,49,True,2023-03-29 17:08:29,4.27.4,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",62230.0,62230.0,https://pypi.org/project/transformers,12665840.0,12690111.0,https://anaconda.org/conda-forge/transformers,2023-03-30 01:34:36.221,1019260.0,,,,,1.0,135.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-04-06 12:53:20.000000,2023-04-06 12:13:07,29813.0,492.0,4508.0,347.0,9273.0,1388.0,7581.0,11033.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1445.0,49,True,2023-02-19 21:46:42,1.10.1,76.0,scipy,conda-forge/scipy,,,,697721.0,697721.0,https://pypi.org/project/scipy,56522848.0,56954294.0,https://anaconda.org/conda-forge/scipy,2023-02-26 14:29:14.610,35480687.0,,,,,1.0,369093.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-04-06 08:57:21.000000,2023-04-06 01:08:26,46901.0,1032.0,6634.0,592.0,16215.0,1464.0,7934.0,17163.0,matplotlib: plotting with Python.,1491.0,48,True,2023-03-04 07:19:11,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,787986.0,787986.0,https://pypi.org/project/matplotlib,35418589.0,35609588.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,17380913.0,,,,,1.0,,,,,,,,,,,,,,,
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-04-06 13:11:49.000000,2023-04-06 11:37:14,14664.0,416.0,1855.0,219.0,4200.0,82.0,2677.0,10693.0,Python Imaging Library (Fork).,434.0,47,True,2023-04-01 09:33:34,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1099805.0,1099805.0,https://pypi.org/project/Pillow,56599647.0,56911366.0,https://anaconda.org/conda-forge/pillow,2023-04-05 12:37:43.311,26184425.0,,,,,1.0,,,,,,,,,,,,,,,
11,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-04-06 13:57:31.000000,2023-04-06 13:57:31,19306.0,794.0,11731.0,755.0,20466.0,718.0,6373.0,30147.0,"Platform to programmatically author, schedule, and monitor workflows.",2784.0,46,True,2023-04-01 09:33:57,2.5.3,62.0,apache-airflow,conda-forge/airflow,apache/airflow,,,6343.0,6343.0,https://pypi.org/project/apache-airflow,10575836.0,11732134.0,https://anaconda.org/conda-forge/airflow,2023-04-01 12:31:40.959,864077.0,https://hub.docker.com/r/apache/airflow,2023-03-31 23:04:21.589433,437.0,109364810.0,1.0,451959.0,stable/airflow,,,,,,,,,,,,,
12,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-04-06 12:32:45.000000,2023-04-06 12:32:44,14946.0,81.0,2501.0,275.0,3720.0,2415.0,2636.0,8357.0,Statsmodels: statistical modeling and econometrics in Python.,409.0,45,True,2022-11-02 16:51:52,0.13.5,23.0,statsmodels,conda-forge/statsmodels,,,,88630.0,88630.0,https://pypi.org/project/statsmodels,9615000.0,9728352.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,9294942.0,,,,,1.0,27.0,,,,,,,,,,,,,,
13,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-04-06 13:59:30.000000,2023-04-06 12:58:16,58533.0,3152.0,17329.0,1636.0,65643.0,10687.0,21941.0,64901.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3967.0,44,True,2023-03-15 19:38:58,2.0.0,44.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,9919625.0,10706500.0,https://anaconda.org/pytorch/pytorch,2023-03-14 19:20:31.620,14947547.0,,,,,1.0,12829.0,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-04-06 14:01:59.000000,2023-04-06 09:45:58,15879.0,120.0,3961.0,550.0,3696.0,77.0,5308.0,25722.0,Industrial-strength Natural Language Processing (NLP) in Python.,723.0,44,True,2023-03-10 09:02:56,3.5.1,100.0,spacy,conda-forge/spacy,,,,56687.0,56687.0,https://pypi.org/project/spacy,4963849.0,5004275.0,https://anaconda.org/conda-forge/spacy,2023-03-13 22:57:38.972,2991524.0,,,,,1.0,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-04-06 13:53:44.000000,2023-04-06 11:52:09,16736.0,1180.0,4230.0,447.0,20453.0,2607.0,10800.0,24936.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,840.0,44,True,2023-03-27 17:25:34,ray-2.3.1,64.0,ray,conda-forge/ray-tune,,,,8812.0,8812.0,https://pypi.org/project/ray,2365357.0,2369255.0,https://anaconda.org/conda-forge/ray-tune,2023-02-26 10:20:09.550,109155.0,,,,,1.0,53.0,,,,,,,,,,,,,,
16,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-04-06 13:25:57.000000,2023-04-06 10:53:23,53886.0,1083.0,3846.0,290.0,12312.0,4081.0,8354.0,10529.0,A computer algebra system written in pure Python.,1212.0,44,False,2022-08-30 17:24:48,sympy-1.11.1,44.0,sympy,conda-forge/sympy,,,,56725.0,56725.0,https://pypi.org/project/sympy,5447159.0,5488736.0,https://anaconda.org/conda-forge/sympy,2023-03-20 20:07:58.909,3099953.0,,,,,1.0,494878.0,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-04-05 16:52:37.000000,2023-04-03 17:29:47,6294.0,162.0,8020.0,920.0,4240.0,312.0,4451.0,23955.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",597.0,43,True,2023-03-30 18:30:05,1.7.5,50.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,51681.0,51681.0,https://pypi.org/project/xgboost,8628594.0,8680365.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3775178.0,,,,,1.0,6274.0,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-04-06 13:56:08.000000,2023-04-06 13:18:03,15600.0,1276.0,2038.0,305.0,9521.0,1092.0,2956.0,22484.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",524.0,43,True,2023-03-29 21:23:10,jax-v0.4.8,67.0,jax,conda-forge/jaxlib,,,,9585.0,9585.0,https://pypi.org/project/jax,3131818.0,3146667.0,https://anaconda.org/conda-forge/jaxlib,2023-03-31 09:45:52.205,668209.0,,,,,1.0,,,,,,,,,,,,,,,
