,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-07-26 13:53:52.000000,2023-07-26 11:28:39,1506,72.0,557.0,108.0,290.0,39.0,119.0,3897,Benchmarks of approximate nearest neighbor libraries in Python.,91.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-07-20 17:39:19.000000,2023-07-20 17:39:18,251,26.0,149.0,52.0,151.0,1.0,2.0,1959,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-07-20 17:39:24,2023.07.20,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-27 13:32:41.000000,2023-07-20 13:51:37,265,24.0,213.0,87.0,152.0,4.0,4.0,3067,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-07-20 13:51:43,2023.07.20,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-27 14:28:45.000000,2023-07-27 14:28:44,267,26.0,213.0,87.0,152.0,4.0,4.0,3067,Collection of database clients for python.,10.0,0,True,2023-07-27 14:28:50,2023.07.27,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-27 14:28:45.000000,2023-07-27 14:28:44,267,26.0,213.0,87.0,152.0,4.0,4.0,3067,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-07-27 14:28:50,2023.07.27,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-07-27 13:56:11.000000,2023-07-27 13:56:06,151357,4032.0,71569.0,7703.0,23203.0,1941.0,35680.0,178628,An Open Source Machine Learning Framework for Everyone.,4411.0,55,True,2023-07-05 19:49:02,2.12.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],294149.0,294149.0,https://pypi.org/project/tensorflow,16185979.0,17698895.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4271666.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-07-27 12:48:53.435803,2183.0,73689449.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-07-27 14:00:55.000000,2023-07-27 13:52:03,30204,270.0,23612.0,2148.0,15784.0,1594.0,8693.0,55189,scikit-learn: machine learning in Python.,2947.0,52,True,2023-06-30 08:07:27,1.3.0,42.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],569011.0,569011.0,https://pypi.org/project/scikit-learn,37596134.0,38213746.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-30 12:52:16.828,23468898.0,,,,,1.0,888.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-07-27 13:58:39.000000,2023-07-27 13:11:28,13545,811.0,20610.0,1044.0,12542.0,583.0,11699.0,109091,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2049.0,50,True,2023-07-18 20:16:04,4.31.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",86888.0,86888.0,https://pypi.org/project/transformers,13572678.0,13606677.0,https://anaconda.org/conda-forge/transformers,2023-07-19 01:32:52.190,1223867.0,,,,,1.0,142.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-07-27 13:30:24.000000,2023-07-27 00:11:49,30540,520.0,4639.0,347.0,9711.0,1388.0,7864.0,11515,"Ecosystem of open-source software for mathematics, science, and engineering.",1499.0,49,True,2023-06-28 22:31:33,1.11.1,80.0,scipy,conda-forge/scipy,,,,782780.0,782780.0,https://pypi.org/project/scipy,56850747.0,58108315.0,https://anaconda.org/conda-forge/scipy,2023-06-29 03:20:27.591,40116348.0,,,,,1.0,377624.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-07-27 12:05:50.000000,2023-07-27 11:17:06,47938,743.0,6798.0,587.0,16745.0,1206.0,8425.0,17768,matplotlib: plotting with Python.,1538.0,48,True,2023-07-05 20:58:47,3.7.2,74.0,matplotlib,conda-forge/matplotlib,,,,900373.0,900373.0,https://pypi.org/project/matplotlib,33070139.0,33604321.0,https://anaconda.org/conda-forge/matplotlib,2023-07-06 23:58:47.375,19764750.0,,,,,1.0,,,,,,,,,,,,,,,
10,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-07-27 14:08:29.000000,2023-07-27 12:17:16,20544,994.0,12120.0,760.0,21917.0,706.0,6940.0,31557,"Platform to programmatically author, schedule, and monitor workflows.",2913.0,47,True,2023-07-10 23:02:37,2.6.3,68.0,apache-airflow,conda-forge/airflow,apache/airflow,,,7520.0,7520.0,https://pypi.org/project/apache-airflow,11473523.0,12757045.0,https://anaconda.org/conda-forge/airflow,2023-07-23 15:06:09.683,925942.0,https://hub.docker.com/r/apache/airflow,2023-07-10 21:55:39.747092,458.0,123991118.0,1.0,509937.0,stable/airflow,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-07-26 10:10:58.000000,2023-07-25 22:16:34,15083,302.0,1900.0,220.0,4338.0,78.0,2763.0,11005,Python Imaging Library (Fork).,440.0,47,True,2023-07-01 14:57:17,10.0.0,51.0,Pillow,conda-forge/pillow,,,,1272713.0,1272713.0,https://pypi.org/project/Pillow,56159585.0,57014947.0,https://anaconda.org/conda-forge/pillow,2023-07-02 00:52:56.834,30793037.0,,,,,1.0,,,,,,,,,,,,,,,
12,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-07-27 13:48:51.000000,2023-07-27 13:33:35,62422,2862.0,18286.0,1662.0,70550.0,11485.0,23838.0,69240,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4225.0,45,True,2023-05-08 19:55:19,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,10139213.0,10932948.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,17456647.0,,,,,1.0,20710.0,,,,,,,,,,,,,,
13,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-07-25 03:36:02.000000,2023-06-30 11:52:22,15089,68.0,2559.0,277.0,3794.0,2478.0,2686.0,8712,Statsmodels: statistical modeling and econometrics in Python.,414.0,45,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,98677.0,98677.0,https://pypi.org/project/statsmodels,11544628.0,11670846.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,10728548.0,,,,,1.0,29.0,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-07-27 14:10:14.000000,2023-07-27 04:25:56,18347,1281.0,4487.0,452.0,22843.0,2826.0,11900.0,26768,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,890.0,44,True,2023-07-24 05:07:30,ray-2.6.1,69.0,ray,conda-forge/ray-tune,,,,10666.0,10666.0,https://pypi.org/project/ray,2140453.0,2145326.0,https://anaconda.org/conda-forge/ray-tune,2023-07-24 16:07:37.720,151044.0,,,,,1.0,85.0,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-07-26 15:52:26.000000,2023-07-26 14:05:53,15968,75.0,4073.0,550.0,3820.0,74.0,5377.0,26721,Industrial-strength Natural Language Processing (NLP) in Python.,730.0,44,True,2023-07-07 08:32:23,3.6.0,100.0,spacy,conda-forge/spacy,,,,64921.0,64921.0,https://pypi.org/project/spacy,5303925.0,5388926.0,https://anaconda.org/conda-forge/spacy,2023-07-10 13:51:26.746,3145073.0,,,,,1.0,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-07-27 12:39:48.000000,2023-07-27 01:25:17,16825,915.0,2174.0,313.0,10446.0,1175.0,3185.0,24000,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",555.0,44,True,2023-06-23 00:53:14,jax-v0.4.13,77.0,jax,conda-forge/jaxlib,,,,15835.0,15835.0,https://pypi.org/project/jax,3287028.0,3310114.0,https://anaconda.org/conda-forge/jaxlib,2023-07-04 17:04:18.476,854203.0,,,,,1.0,,,,,,,,,,,,,,,
17,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2023-07-27 11:55:49.000000,2023-07-25 13:41:07,12265,82.0,4342.0,480.0,3000.0,567.0,4319.0,21919,Asynchronous task queue/job queue based on distributed message passing.,1290.0,44,False,2023-06-18 14:18:25,5.3.1,42.0,celery,conda-forge/celery,,,,107274.0,107274.0,https://pypi.org/project/celery,7001121.0,7036962.0,https://anaconda.org/conda-forge/celery,2023-06-22 15:12:17.099,1326121.0,,,,,1.0,,,,,,,,,,,,,,,
18,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-07-27 05:48:07.000000,2023-07-27 01:14:04,4413,449.0,3348.0,290.0,5983.0,989.0,2020.0,14862,Open source platform for the machine learning lifecycle.,603.0,44,True,2023-07-17 08:47:14,2.5.0,72.0,mlflow,conda-forge/mlflow,,,,21670.0,21670.0,https://pypi.org/project/mlflow,13269149.0,13307124.0,https://anaconda.org/conda-forge/mlflow,2023-07-18 00:01:43.462,1405104.0,,,,,1.0,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-07-27 12:51:55.000000,2023-07-26 15:41:21,54552,444.0,3898.0,291.0,12507.0,4179.0,8439.0,11100,A computer algebra system written in pure Python.,1230.0,44,False,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,72530.0,72530.0,https://pypi.org/project/sympy,8733627.0,8783154.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,3895719.0,,,,,1.0,507392.0,,,,,,,,,,,,,,
20,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-07-27 08:44:33.000000,2023-07-27 03:09:55,6460,127.0,8067.0,913.0,4545.0,327.0,4540.0,24410,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",617.0,43,True,2023-06-19 01:38:37,1.7.6,51.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,62428.0,62428.0,https://pypi.org/project/xgboost,10140454.0,10255142.0,https://anaconda.org/conda-forge/xgboost,2023-06-28 08:56:09.590,4126574.0,,,,,1.0,6843.0,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-07-24 17:44:20.000000,2023-07-24 03:37:11,3310,55.0,3631.0,443.0,2948.0,277.0,2774.0,15308,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",286.0,43,True,2023-07-13 18:43:08,4.0.0,28.0,lightgbm,conda-forge/lightgbm,,,,23717.0,23717.0,https://pypi.org/project/lightgbm,6405222.0,6463119.0,https://anaconda.org/conda-forge/lightgbm,2023-07-14 13:55:17.383,1879450.0,,,,,1.0,196527.0,,,,,,,,,,,,,,
