,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,trending,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-03-15 22:48:02.000000,2023-03-11 16:33:42,1344.0,19.0,483.0,98.0,214.0,29.0,103.0,3281.0,Benchmarks of approximate nearest neighbor libraries in Python.,79.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-03-20 23:10:25.000000,2023-03-20 23:10:23,213.0,25.0,141.0,52.0,131.0,1.0,2.0,1842.0,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-03-20 23:10:44,2023.03.16,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-23 13:37:40.000000,2023-03-20 23:11:04,228.0,24.0,195.0,82.0,133.0,2.0,4.0,2885.0,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-03-20 23:11:10,2023.03.16,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-23 13:37:40.000000,2023-03-20 23:11:04,228.0,24.0,195.0,82.0,133.0,2.0,4.0,2885.0,Collection of database clients for python.,9.0,0,True,2023-03-20 23:11:10,2023.03.16,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-23 13:37:40.000000,2023-03-20 23:11:04,228.0,24.0,195.0,82.0,133.0,2.0,4.0,2885.0,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-03-20 23:11:10,2023.03.16,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-03-23 13:35:07.000000,2023-03-23 13:35:01,145346.0,4514.0,71093.0,7741.0,22778.0,2055.0,34823.0,174455.0,An Open Source Machine Learning Framework for Everyone.,4303.0,55,True,2023-03-22 21:31:02,2.12.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],260891.0,260891.0,https://pypi.org/project/tensorflow,17213077.0,20046039.0,https://anaconda.org/conda-forge/tensorflow,2023-03-23 12:10:46.220,4030832.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-03-23 12:53:24.125186,2119.0,71944099.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-03-23 13:28:18.000000,2023-03-23 10:10:00,29765.0,380.0,23271.0,2156.0,15161.0,1557.0,8461.0,53475.0,scikit-learn: machine learning in Python.,2884.0,52,True,2023-03-09 10:08:59,1.2.2,40.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],485609.0,485609.0,https://pypi.org/project/scikit-learn,38534755.0,38779372.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-09 11:58:40.701,20057801.0,,,,,1.0,852.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-03-23 13:49:10.000000,2023-03-23 12:45:13,12405.0,752.0,17984.0,936.0,11093.0,471.0,10688.0,87050.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1791.0,49,True,2023-03-20 17:42:11,4.27.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",59922.0,59922.0,https://pypi.org/project/transformers,12038390.0,12062141.0,https://anaconda.org/conda-forge/transformers,2023-03-22 04:45:15.137,973583.0,,,,,1.0,270.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-03-23 11:51:23.000000,2023-03-22 23:17:29,29772.0,526.0,4490.0,345.0,9230.0,1387.0,7563.0,10975.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1436.0,49,True,2023-02-19 21:46:42,1.10.1,76.0,scipy,conda-forge/scipy,,,,689050.0,689050.0,https://pypi.org/project/scipy,55614421.0,56042716.0,https://anaconda.org/conda-forge/scipy,2023-02-26 14:29:14.610,34792069.0,,,,,1.0,368249.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-03-23 12:57:02.000000,2023-03-23 10:30:43,46753.0,1011.0,6586.0,591.0,16154.0,1507.0,7852.0,17063.0,matplotlib: plotting with Python.,1484.0,48,True,2023-03-04 07:19:11,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,776416.0,776416.0,https://pypi.org/project/matplotlib,34654818.0,34843988.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,17025375.0,,,,,1.0,,,,,,,,,,,,,,,
