,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-01-25 14:05:16.000000,2023-01-25 14:05:16,1326,22.0,473.0,96.0,197.0,26.0,102.0,3199.0,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-01-19 17:35:05.000000,2023-01-19 17:35:03,196,22.0,135.0,52.0,122.0,,2.0,1791.0,Collection of web-scraping and crawling libraries.,9.0,0,True,2023-01-19 17:35:11,2023.01.19,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-26 13:46:31.000000,2023-01-19 16:07:05,212,20.0,193.0,84.0,123.0,2.0,4.0,2782.0,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-01-19 16:07:11,2023.01.19,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-26 13:46:31.000000,2023-01-19 16:07:05,212,20.0,193.0,84.0,123.0,2.0,4.0,2782.0,Collection of database clients for python.,9.0,0,True,2023-01-19 16:07:11,2023.01.19,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-26 13:46:31.000000,2023-01-19 16:07:05,212,20.0,193.0,84.0,123.0,2.0,4.0,2782.0,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-01-19 16:07:11,2023.01.19,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-01-26 13:49:12.925943,2023-01-26 13:05:17,142273,4413.0,70824.0,7787.0,22486.0,2127.0,34436.0,172767.0,An Open Source Machine Learning Framework for Everyone.,4252.0,55,True,2022-11-18 06:01:33,2.11.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],241259.0,241259.0,https://pypi.org/project/tensorflow,14844912.0,19610158.0,https://anaconda.org/conda-forge/tensorflow,2023-01-08 21:26:45.867,3940862.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-01-26 13:49:12.925943,2096.0,70897057.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-01-26 13:46:18.000000,2023-01-26 13:46:17,29530,372.0,23073.0,2164.0,14860.0,1540.0,8350.0,52675.0,scikit-learn: machine learning in Python.,2844.0,52,True,2023-01-24 16:52:14,1.2.1,39.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],448356.0,448356.0,https://pypi.org/project/scikit-learn,32486801.0,32715564.0,https://anaconda.org/conda-forge/scikit-learn,2023-01-25 02:09:45.686,18300296.0,,,,,1.0,838.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-01-26 13:51:45.000000,2023-01-26 13:50:09,11880,707.0,16916.0,883.0,10479.0,414.0,10346.0,78819.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1699.0,49,True,2023-01-25 18:32:44,4.26.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",47559.0,47559.0,https://pypi.org/project/transformers,8400667.0,8420316.0,https://anaconda.org/conda-forge/transformers,2023-01-25 05:50:56.862,765775.0,,,,,1.0,634.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-01-26 12:08:48.000000,2023-01-26 04:28:53,29400,447.0,4404.0,343.0,9032.0,1386.0,7436.0,10748.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1411.0,49,True,2023-01-03 22:48:32,1.10.0,75.0,scipy,conda-forge/scipy,,,,638052.0,638052.0,https://pypi.org/project/scipy,45341710.0,45747124.0,https://anaconda.org/conda-forge/scipy,2023-01-04 12:04:30.808,32109321.0,,,,,1.0,364385.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-01-26 12:40:40.000000,2023-01-26 12:40:24,45691,903.0,6514.0,589.0,15838.0,1558.0,7670.0,16757.0,matplotlib: plotting with Python.,1462.0,48,True,2023-01-12 02:18:01,3.6.3,71.0,matplotlib,conda-forge/matplotlib,,,,713731.0,713731.0,https://pypi.org/project/matplotlib,28792982.0,28968660.0,https://anaconda.org/conda-forge/matplotlib,2023-01-18 23:53:01.224,15459731.0,,,,,1.0,,,,,,,,,,,,,,,
