,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-08-23 18:32:44.000000,2023-08-23 18:32:44,1514.0,47.0,573.0,107.0,298.0,41.0,123.0,3990.0,Benchmarks of approximate nearest neighbor libraries in Python.,94.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-08-24 16:49:11.000000,2023-08-24 16:49:10,261.0,24.0,148.0,51.0,156.0,1.0,2.0,1996.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-08-24 16:49:17,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-31 13:35:31.000000,2023-08-24 13:57:29,276.0,25.0,216.0,88.0,158.0,4.0,4.0,3126.0,Collection of data-loading and -extraction libraries.,11.0,0,True,2023-08-24 13:57:37,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-31 13:35:31.000000,2023-08-24 13:57:29,276.0,25.0,216.0,88.0,158.0,4.0,4.0,3126.0,Collection of database clients for python.,11.0,0,True,2023-08-24 13:57:37,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-31 13:35:31.000000,2023-08-24 13:57:29,276.0,25.0,216.0,88.0,158.0,4.0,4.0,3126.0,"Collection of data-container, dataframe, and pandas-utility libraries.",11.0,0,True,2023-08-24 13:57:37,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-08-31 13:11:00.000000,2023-08-31 13:10:54,153162.0,4310.0,71701.0,7693.0,23330.0,1902.0,35938.0,179477.0,An Open Source Machine Learning Framework for Everyone.,4429.0,55,True,2023-07-05 19:49:02,2.12.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],301560.0,301560.0,https://pypi.org/project/tensorflow,16370151.0,17783284.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4316679.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-08-31 12:49:16.240108,2200.0,74071257.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-08-31 13:54:58.000000,2023-08-30 13:30:16,30328.0,316.0,23696.0,2156.0,16022.0,1603.0,8766.0,55550.0,scikit-learn: machine learning in Python.,2979.0,52,True,2023-06-30 08:07:27,1.3.0,42.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],590205.0,590205.0,https://pypi.org/project/scikit-learn,41923946.0,42540596.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-30 12:52:16.828,24048983.0,,,,,1.0,893.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-08-31 13:58:31.000000,2023-08-31 12:17:26,13859.0,803.0,21015.0,1054.0,12944.0,606.0,12021.0,111041.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2103.0,50,True,2023-08-28 12:48:30,4.32.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",95835.0,95835.0,https://pypi.org/project/transformers,16084849.0,16119617.0,https://anaconda.org/conda-forge/transformers,2023-08-28 22:53:19.607,1286334.0,,,,,1.0,142.0,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-08-31 11:59:24.000000,2023-08-31 08:08:29,48245.0,715.0,6843.0,588.0,16941.0,1177.0,8524.0,17976.0,matplotlib: plotting with Python.,1552.0,48,True,2023-07-05 20:58:47,3.7.2,75.0,matplotlib,conda-forge/matplotlib,,,,930306.0,930306.0,https://pypi.org/project/matplotlib,37536619.0,38068447.0,https://anaconda.org/conda-forge/matplotlib,2023-08-18 18:51:57.826,20209481.0,,,,,1.0,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-08-31 13:59:10.000000,2023-08-31 13:34:08,63569.0,2768.0,18531.0,1670.0,72053.0,11689.0,24339.0,70254.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4307.0,47,True,2023-05-08 19:55:19,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],11.0,11.0,https://pypi.org/project/torch,11106702.0,11892026.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,18056149.0,,,,,1.0,22866.0,,,,,,,,,,,,,,
