,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-10-04 13:33:13.000000,2022-10-04 13:33:13,1304.0,5.0,462.0,96.0,188.0,44.0,81.0,3100.0,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-10-14 10:47:33.000000,2022-10-14 10:47:31,170.0,25.0,129.0,48.0,108.0,,2.0,1702.0,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-10-14 10:47:40,2022.10.13,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-20 14:23:06.000000,2022-10-14 10:48:35,188.0,24.0,176.0,78.0,111.0,2.0,4.0,2536.0,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-10-14 10:48:41,2022.10.13,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-20 14:23:06.000000,2022-10-14 10:48:35,188.0,24.0,176.0,78.0,111.0,2.0,4.0,2536.0,Collection of database clients for python.,9.0,0,True,2022-10-14 10:48:41,2022.10.13,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-20 14:23:06.000000,2022-10-14 10:48:35,188.0,24.0,176.0,78.0,111.0,2.0,4.0,2536.0,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-10-14 10:48:41,2022.10.13,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-10-20 14:25:06.000000,2022-10-20 14:25:01,137177.0,4663.0,70481.0,7799.0,21951.0,2121.0,33718.0,170559.0,An Open Source Machine Learning Framework for Everyone.,4148.0,55,True,2022-09-06 19:44:26,2.10.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],220731.0,220731.0,https://pypi.org/project/tensorflow,15597321.0,16472835.0,https://anaconda.org/conda-forge/tensorflow,2022-09-25 19:15:48.038,3702116.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-10-20 13:41:44.809907,2064.0,68778156.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-10-20 14:20:45.000000,2022-10-20 14:20:45,29128.0,396.0,22750.0,2176.0,14355.0,1541.0,8151.0,51787.0,scikit-learn: machine learning in Python.,2763.0,52,True,2022-08-05 22:48:17,1.1.2,35.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],403243.0,403243.0,https://pypi.org/project/scikit-learn,34737434.0,34949406.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,16321127.0,,,,,1.0,822.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-10-20 14:16:46.000000,2022-10-20 13:13:35,11090.0,826.0,15861.0,861.0,9505.0,399.0,9791.0,72592.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1574.0,49,True,2022-10-11 12:02:53,4.23.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",37618.0,37618.0,https://pypi.org/project/transformers,8192244.0,8206772.0,https://anaconda.org/conda-forge/transformers,2022-10-12 03:48:29.314,522510.0,,,,,1.0,624.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-10-20 14:30:38.000000,2022-10-20 08:11:36,28900.0,542.0,4294.0,338.0,8689.0,1411.0,7159.0,10368.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1376.0,49,True,2022-10-20 02:34:14,1.9.3,72.0,scipy,conda-forge/scipy,,,,580372.0,580372.0,https://pypi.org/project/scipy,45523248.0,45900594.0,https://anaconda.org/conda-forge/scipy,2022-10-19 13:21:31.316,28738296.0,,,,,1.0,358698.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2022-10-20 14:16:23.000000,2022-10-20 05:10:52,44638.0,878.0,6359.0,582.0,15234.0,1564.0,7408.0,16289.0,matplotlib: plotting with Python.,1418.0,48,True,2022-10-08 09:49:54,3.6.1,68.0,matplotlib,conda-forge/matplotlib,,,,640984.0,640984.0,https://pypi.org/project/matplotlib,29416626.0,29582089.0,https://anaconda.org/conda-forge/matplotlib,2022-10-11 18:56:24.032,14064384.0,,,,,1.0,,,,,,,,,,,,,,,
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-10-20 11:41:50.000000,2022-10-20 11:41:50,13844.0,312.0,1764.0,215.0,3936.0,94.0,2550.0,10234.0,The friendly PIL fork (Python Imaging Library).,414.0,47,True,2022-07-01 18:32:05,9.2.0,47.0,Pillow,conda-forge/pillow,,,,874420.0,874420.0,https://pypi.org/project/Pillow,46994597.0,47248631.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,19814709.0,,,,,1.0,,,,,,,,,,,,,,,
