,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-08-09 16:11:22.000000,2023-08-03 10:15:33,1512.0,72.0,565.0,108.0,296.0,41.0,122.0,3935.0,Benchmarks of approximate nearest neighbor libraries in Python.,94.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-08-03 17:01:54.000000,2023-08-03 17:01:53,255.0,26.0,151.0,51.0,153.0,1.0,2.0,1978.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-08-03 17:02:00,2023.08.03,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-10 13:36:55.000000,2023-08-03 13:39:50,269.0,24.0,214.0,88.0,154.0,4.0,4.0,3085.0,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-08-03 13:39:56,2023.08.03,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-10 13:36:55.000000,2023-08-03 13:39:50,269.0,24.0,214.0,88.0,154.0,4.0,4.0,3085.0,Collection of database clients for python.,10.0,0,True,2023-08-03 13:39:56,2023.08.03,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-10 13:36:55.000000,2023-08-03 13:39:50,269.0,24.0,214.0,88.0,154.0,4.0,4.0,3085.0,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-08-03 13:39:56,2023.08.03,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-08-10 13:13:34.000000,2023-08-10 13:13:29,152130.0,4162.0,71622.0,7701.0,23252.0,1883.0,35789.0,178998.0,An Open Source Machine Learning Framework for Everyone.,4417.0,55,True,2023-07-05 19:49:02,2.12.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],297097.0,297097.0,https://pypi.org/project/tensorflow,16123781.0,17530781.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4290069.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-08-10 12:48:46.248477,2184.0,73854387.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-08-10 13:52:58.000000,2023-08-10 13:52:57,30253.0,296.0,23657.0,2153.0,15872.0,1603.0,8721.0,55341.0,scikit-learn: machine learning in Python.,2959.0,52,True,2023-06-30 08:07:27,1.3.0,42.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],577031.0,577031.0,https://pypi.org/project/scikit-learn,39588111.0,40195879.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-30 12:52:16.828,23702581.0,,,,,1.0,889.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-08-10 13:45:03.000000,2023-08-10 11:25:00,13666.0,811.0,20753.0,1050.0,12692.0,603.0,11824.0,109921.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2073.0,50,True,2023-07-18 20:16:04,4.31.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",89829.0,89829.0,https://pypi.org/project/transformers,14871321.0,14905106.0,https://anaconda.org/conda-forge/transformers,2023-07-19 01:32:52.190,1249952.0,,,,,1.0,142.0,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-08-10 13:35:46.000000,2023-08-09 22:28:00,48112.0,811.0,6818.0,588.0,16806.0,1180.0,8474.0,17844.0,matplotlib: plotting with Python.,1542.0,48,True,2023-07-05 20:58:47,3.7.2,74.0,matplotlib,conda-forge/matplotlib,,,,911861.0,911861.0,https://pypi.org/project/matplotlib,36132438.0,36657288.0,https://anaconda.org/conda-forge/matplotlib,2023-07-06 23:58:47.375,19944335.0,,,,,1.0,,,,,,,,,,,,,,,
9,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-08-10 14:21:32.000000,2023-08-10 14:15:11,20787.0,1091.0,12161.0,761.0,22181.0,709.0,7026.0,31721.0,"Platform to programmatically author, schedule, and monitor workflows.",2932.0,47,True,2023-07-10 23:02:37,2.6.3,68.0,apache-airflow,conda-forge/airflow,apache/airflow,,,7637.0,7637.0,https://pypi.org/project/apache-airflow,11324068.0,12611857.0,https://anaconda.org/conda-forge/airflow,2023-07-23 15:06:09.683,931422.0,https://hub.docker.com/r/apache/airflow,2023-08-04 15:03:21.090558,463.0,125722870.0,1.0,517275.0,stable/airflow,,,,,,,,,,,,,
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-08-10 08:08:00.000000,2023-08-10 08:08:00,15120.0,280.0,1902.0,220.0,4349.0,81.0,2771.0,11042.0,Python Imaging Library (Fork).,441.0,47,True,2023-07-01 14:57:17,10.0.0,51.0,Pillow,conda-forge/pillow,,,,1290424.0,1290424.0,https://pypi.org/project/Pillow,60905403.0,61749935.0,https://anaconda.org/conda-forge/pillow,2023-07-02 00:52:56.834,31247687.0,,,,,1.0,,,,,,,,,,,,,,,
11,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-08-10 13:49:44.000000,2023-08-10 12:25:05,62840.0,2733.0,18387.0,1667.0,71115.0,11560.0,24033.0,69639.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4258.0,46,True,2023-05-08 19:55:19,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],4.0,4.0,https://pypi.org/project/torch,10764080.0,11534468.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,17712958.0,,,,,1.0,21597.0,,,,,,,,,,,,,,
12,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-08-10 14:09:24.000000,2023-08-10 05:43:56,18535.0,1250.0,4506.0,458.0,23124.0,2897.0,12014.0,26972.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,896.0,44,True,2023-08-03 23:54:39,ray-2.6.2,70.0,ray,conda-forge/ray-tune,,,,10854.0,10854.0,https://pypi.org/project/ray,2138491.0,2143306.0,https://anaconda.org/conda-forge/ray-tune,2023-08-04 08:58:45.413,154077.0,,,,,1.0,86.0,,,,,,,,,,,,,,
13,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-08-10 09:44:26.000000,2023-08-08 13:04:13,15979.0,71.0,4081.0,549.0,3838.0,71.0,5383.0,26849.0,Industrial-strength Natural Language Processing (NLP) in Python.,733.0,44,True,2023-08-08 14:45:58,3.6.1,100.0,spacy,conda-forge/spacy,,,,65740.0,65740.0,https://pypi.org/project/spacy,5862996.0,5946219.0,https://anaconda.org/conda-forge/spacy,2023-08-09 19:17:06.552,3162478.0,,,,,1.0,,,,,,,,,,,,,,,
